,D,T
1,12095.66452,25.5483871
2,12420.87857,25.07142857
3,11321.01613,33.29032258
4,10094.90667,43
5,9557.735484,51.51612903
6,11497.33667,63.43333333
7,11979.96774,65.41935484
8,13008.63226,68.12903226
9,10911.73667,61.23333333
10,9953.809677,52.58064516
11,10758.25667,36.83333333
12,11492.46774,34.06451613
1,13255.57097,21.12903226
2,12731.53929,26.53571429
3,11651.73226,33.93548387
4,10115.77333,42.3
5,9930.680645,53.77419355
6,10544.79,59.2
7,12753.24516,67.16129032
8,13600.66774,67.61290323
9,10664.26,57.73333333
10,9994.86129,47.90322581
11,10755.73,41.76666667
12,12082.00323,30.83870968
1,11676.21935,33.67741935
2,12429.53929,28.60714286
3,11709.09032,33.61290323
4,10261.32,45.06666667
5,9514.629032,49.70967742
6,10534.97333,58.86666667
7,12902.46129,68.32258065
8,11723.08065,64.22580645
9,11454.99333,60.3
