Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point,System_Load,Reg_Service_Price,Reg_Capacity_Price,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
01/01/2021,1,"11,787.20","11,941.46",24.66,24.24,0.2,0.22,26.76,26.53,0,0.23,30,21,"12,192",0.21,8.2,0.19,0.25,5.21,17.17
01/01/2021,2,"11,592.40","11,505.92",24.66,24.24,0.21,0.21,44.66,44.26,0,0.4,29,21,"11,740",0.7,184.86,0.19,0.75,5.21,201.19
01/01/2021,3,"11,393.00","11,243.50",24.62,24.19,0.21,0.22,24.8,24.58,0,0.22,30,20,"11,476",0.17,24.51,0.05,0.75,3.31,201.19
01/01/2021,4,"11,449.20","11,166.09",24.1,23.71,0.18,0.21,25.06,24.84,0,0.22,29,20,"11,399",0.05,9.16,0.05,0.05,8.96,9.18
01/01/2021,5,"11,556.50","11,281.03",24.15,23.81,0.14,0.2,25.15,24.9,0.02,0.23,28,20,"11,508",0.05,8.58,0.05,0.05,8.38,9.18
01/01/2021,6,"11,599.40","11,644.13",24.51,24.29,0.05,0.17,24.82,24.63,0,0.19,27,19,"11,856",0.05,8.97,0.05,0.05,8.38,9.09
01/01/2021,7,"11,642.70","12,161.47",25.67,25.65,0,0.02,37.71,37.47,0,0.24,26,19,"12,354",0.17,8.17,0.05,0.19,7.98,9.09
01/01/2021,8,"12,242.20","12,555.83",26.16,26.16,0,0,31.91,31.76,0,0.15,25,18,"12,758",0.19,7.38,0.19,0.19,7.32,7.98
01/01/2021,9,"12,858.90","12,748.49",25.28,25.27,0,0.01,24.17,24.09,0,0.08,26,19,"12,949",0.1,14.65,0.07,0.19,7.32,16.41
01/01/2021,10,"13,068.00","12,740.86",25.58,25.62,0,-0.04,22.26,22.22,0,0.04,31,21,"12,938",0.05,8.7,0.05,0.07,7.16,16.41
01/01/2021,11,"13,116.30","12,758.21",24.66,24.74,0,-0.08,20.94,20.91,0,0.03,33,21,"12,955",0.63,5.21,0.05,0.75,4.82,7.16
01/01/2021,12,"13,245.20","12,973.76",27.58,27.65,0,-0.07,21.14,21.11,0,0.03,34,21,"13,171",0.75,5.39,0.75,0.75,4.82,5.5
01/01/2021,13,"13,267.10","13,251.88",27.29,27.42,0,-0.13,23.34,23.33,0,0.01,35,21,"13,451",0.17,12.49,0.05,0.75,5.5,13.46
01/01/2021,14,"13,628.00","13,474.44",26,26.1,-0.02,-0.08,27.27,27.24,0,0.03,35,21,"13,671",0.63,8.5,0.05,0.75,7.46,13.46
01/01/2021,15,"13,552.10","13,690.52",26,26.71,-0.61,-0.1,25.2,25.17,0,0.03,35,21,"13,908",0.75,5.97,0.75,0.75,5.83,7.46
01/01/2021,16,"14,140.10","14,109.76",24.67,24.82,0,-0.15,26.49,26.46,0,0.03,35,22,"14,333",0.75,8.52,0.75,0.75,5.83,8.76
01/01/2021,17,"15,398.10","15,148.91",33.86,34.85,-0.78,-0.21,35.16,35.16,0,0,34,22,"15,386",0.33,14,0.25,0.75,7.92,15.56
01/01/2021,18,"15,782.70","15,808.12",51.36,54.55,-2.81,-0.38,46.56,46.59,0,-0.03,34,22,"16,056",0.13,16.74,0.1,0.25,14.49,40.38
01/01/2021,19,"15,647.10","15,495.23",36.26,36.47,0,-0.21,43.6,43.62,0,-0.02,33,24,"15,742",0.1,12.13,0.1,0.1,11.92,14.49
01/01/2021,20,"15,027.60","14,962.91",30.88,31.07,0,-0.19,34,34,0,0,33,24,"15,198",0.64,22.21,0.1,0.75,11.92,24.27
01/01/2021,21,"14,481.10","14,378.47",26.77,26.88,0,-0.11,32.62,32.58,0,0.04,33,25,"14,604",0.33,16.79,0.25,0.75,12.71,24.27
01/01/2021,22,"13,586.30","13,683.40",25.78,25.87,0,-0.09,25.59,25.55,0,0.04,32,26,"13,921",0.63,12.48,0.25,0.75,9.01,16.45
01/01/2021,23,"12,327.60","12,857.36",24.42,24.43,0,-0.01,34.8,34.71,0,0.09,32,27,"13,117",0.33,14.31,0.25,0.75,11.98,14.78
01/01/2021,24,"11,515.60","12,055.08",24.49,24.46,0,0.03,42.45,42.25,0,0.2,32,29,"12,331",0.25,32.8,0.25,0.25,14.78,38.81
02/01/2021,1,"11,510.00","11,419.63",32.11,31.98,0,0.13,32.25,32.08,0,0.17,32,30,"11,706",0.08,20.35,0.05,0.25,16.85,38.81
02/01/2021,2,"11,113.80","10,970.70",26.32,26.19,0,0.13,24.73,24.62,0,0.11,33,31,"11,246",0.05,15.6,0.05,0.05,14.51,18.85
02/01/2021,3,"11,048.20","10,729.60",23.58,23.43,0,0.15,25.49,25.36,0,0.13,33,32,"10,983",0.05,13.64,0.05,0.05,13.56,14.51
02/01/2021,4,"11,072.40","10,616.98",22.83,22.68,0,0.15,21.89,21.78,0,0.11,34,33,"10,851",0.05,11.6,0.05,0.05,11.21,13.56
02/01/2021,5,"11,084.20","10,662.09",24.38,24.21,0,0.17,21.3,21.17,0,0.13,35,33,"10,891",0.05,7.19,0.05,0.05,6.82,11.21
02/01/2021,6,"10,982.90","10,933.62",22.34,22.19,0,0.15,22.44,22.29,0,0.15,35,34,"11,166",0.05,10.42,0.05,0.05,6.82,10.75
02/01/2021,7,"11,488.70","11,429.75",25.27,25.11,0,0.16,23.59,23.43,0,0.16,36,35,"11,657",0.17,6.33,0.05,0.19,5.45,10.75
02/01/2021,8,"12,320.80","11,991.12",28.01,27.87,0,0.14,22.47,22.33,0,0.14,36,35,"12,215",0.66,6.74,0.19,0.75,5.45,6.98
02/01/2021,9,"13,107.30","12,693.55",29.94,29.83,0,0.11,24.98,24.87,0,0.11,37,36,"12,919",0.33,8.14,0.25,0.75,6.98,8.37
02/01/2021,10,"13,514.60","13,294.28",30.92,30.87,0,0.05,25.33,25.25,0,0.08,38,36,"13,529",0.71,12.7,0.25,0.75,8.37,13.09
02/01/2021,11,"13,683.80","13,549.93",32.03,32.04,0,-0.01,25.1,25.05,0,0.05,37,36,"13,778",0.75,14.14,0.75,0.75,13.09,14.35
02/01/2021,12,"13,713.60","13,588.40",35.45,35.48,0,-0.03,25.72,25.68,0.01,0.03,39,36,"13,812",0.75,15.45,0.75,0.75,14.35,15.55
02/01/2021,13,"13,475.90","13,294.80",32.03,32.05,0,-0.02,21.13,21.13,0.01,-0.01,40,36,"13,505",0.17,8.1,0.05,0.75,4.59,15.55
