Date,Hr_End,DA_Demand,Dry_Bulb
01/01/2021,1,11787.2,30
01/01/2021,2,11592.4,29
01/01/2021,3,11393.0,30
01/01/2021,4,11449.2,29
01/01/2021,5,11556.5,28
01/01/2021,6,11599.4,27
01/01/2021,7,11642.7,26
01/01/2021,8,12242.2,25
01/01/2021,9,12858.9,26
01/01/2021,10,13068.0,31
01/01/2021,11,13116.3,33
01/01/2021,12,13245.2,34
01/01/2021,13,13267.1,35
01/01/2021,14,13628.0,35
01/01/2021,15,13552.1,35
01/01/2021,16,14140.1,35
01/01/2021,17,15398.1,34
01/01/2021,18,15782.7,34
01/01/2021,19,15647.1,33
01/01/2021,20,15027.6,33
01/01/2021,21,14481.1,33
01/01/2021,22,13586.3,32
01/01/2021,23,12327.6,32
01/01/2021,24,11515.6,32
02/01/2021,1,11510.0,32
02/01/2021,2,11113.8,33
02/01/2021,3,11048.2,33
02/01/2021,4,11072.4,34
02/01/2021,5,11084.2,35
02/01/2021,6,10982.9,35
02/01/2021,7,11488.7,36
02/01/2021,8,12320.8,36
02/01/2021,9,13107.3,37
02/01/2021,10,13514.6,38
02/01/2021,11,13683.8,37
02/01/2021,12,13713.6,39
02/01/2021,13,13475.9,40
02/01/2021,14,13393.4,42
02/01/2021,15,13309.5,42
02/01/2021,16,13588.8,42
02/01/2021,17,14483.8,41
02/01/2021,18,15197.4,39
02/01/2021,19,14721.5,38
02/01/2021,20,14151.7,37
02/01/2021,21,13666.4,35
02/01/2021,22,12863.3,34
02/01/2021,23,11922.0,33
02/01/2021,24,11196.9,31
03/01/2021,1,11309.5,30
03/01/2021,2,11189.4,30
03/01/2021,3,11033.2,28
03/01/2021,4,10995.4,28
03/01/2021,5,11155.1,28
03/01/2021,6,11171.5,27
03/01/2021,7,11570.1,27
03/01/2021,8,12147.8,27
03/01/2021,9,12690.7,28
03/01/2021,10,13332.5,30
03/01/2021,11,13599.3,31
03/01/2021,12,13835.9,31
03/01/2021,13,14203.5,32
03/01/2021,14,14350.8,32
03/01/2021,15,14336.4,33
03/01/2021,16,14802.0,33
03/01/2021,17,15816.1,32
03/01/2021,18,16479.4,32
03/01/2021,19,15771.9,32
03/01/2021,20,15065.4,32
03/01/2021,21,14366.2,31
03/01/2021,22,13505.1,31
03/01/2021,23,12576.2,31
03/01/2021,24,11672.2,31
04/01/2021,1,11538.0,31
04/01/2021,2,11391.8,31
04/01/2021,3,11338.0,31
04/01/2021,4,11313.0,31
04/01/2021,5,11553.0,31
04/01/2021,6,11850.9,30
04/01/2021,7,13491.0,30
04/01/2021,8,14968.4,30
04/01/2021,9,15303.3,30
04/01/2021,10,15631.4,31
04/01/2021,11,15447.3,33
04/01/2021,12,15461.2,35
04/01/2021,13,15145.4,36
04/01/2021,14,15115.9,37
04/01/2021,15,15161.8,38
04/01/2021,16,15453.9,39
04/01/2021,17,16556.2,37
04/01/2021,18,17335.0,35
04/01/2021,19,16903.8,33
04/01/2021,20,16000.7,32
04/01/2021,21,15164.2,32
04/01/2021,22,14411.9,31
04/01/2021,23,13013.7,30
04/01/2021,24,12385.7,31
05/01/2021,1,11750.1,31
05/01/2021,2,11280.9,31
05/01/2021,3,11396.0,31
05/01/2021,4,11438.9,30
05/01/2021,5,11748.7,30
05/01/2021,6,12353.9,30
05/01/2021,7,13849.9,30
05/01/2021,8,14898.9,30
05/01/2021,9,15184.7,30
05/01/2021,10,15325.3,31
05/01/2021,11,15305.3,32
05/01/2021,12,15227.8,34
05/01/2021,13,15061.1,34
05/01/2021,14,15000.8,35
05/01/2021,15,14930.4,35
05/01/2021,16,15169.9,35
05/01/2021,17,16266.0,33
05/01/2021,18,17286.2,34
05/01/2021,19,16954.4,33
05/01/2021,20,16048.1,33
05/01/2021,21,15289.7,32
05/01/2021,22,14249.1,32
05/01/2021,23,12977.7,32
05/01/2021,24,11938.8,32
06/01/2021,1,11499.7,31
06/01/2021,2,11377.5,31
06/01/2021,3,11286.4,31
06/01/2021,4,11390.5,31
06/01/2021,5,11740.6,31
06/01/2021,6,12005.6,31
06/01/2021,7,13848.1,31
06/01/2021,8,14891.9,31
06/01/2021,9,15140.6,31
06/01/2021,10,14899.2,32
06/01/2021,11,14568.1,33
06/01/2021,12,14284.6,35
06/01/2021,13,13907.2,36
06/01/2021,14,13958.1,36
06/01/2021,15,14060.3,36
06/01/2021,16,14478.5,37
06/01/2021,17,15750.4,35
06/01/2021,18,16720.1,34
06/01/2021,19,16443.6,33
06/01/2021,20,15610.1,32
06/01/2021,21,15053.6,32
06/01/2021,22,14094.4,32
06/01/2021,23,12729.8,31
06/01/2021,24,11993.0,31
07/01/2021,1,11814.1,31
07/01/2021,2,11671.9,30
