Date,Hour,Demand,Temp_F
01/01/2021,13,13267.1,35
02/01/2021,13,13475.9,40
03/01/2021,13,14203.5,32
04/01/2021,13,15145.4,36
05/01/2021,13,15061.1,34
06/01/2021,13,13907.2,36
07/01/2021,13,13485.4,36
08/01/2021,13,12935.1,35
09/01/2021,13,13021.8,32
10/01/2021,13,12116.8,36
11/01/2021,13,14246.2,31
12/01/2021,13,13591.0,36
13/01/2021,13,13342.8,37
14/01/2021,13,14576.4,37
15/01/2021,13,14205.0,39
16/01/2021,13,12787.7,44
17/01/2021,13,11976.3,40
18/01/2021,13,12407.8,42
19/01/2021,13,12890.7,36
20/01/2021,13,13649.8,35
21/01/2021,13,14401.6,28
22/01/2021,13,13556.4,40
23/01/2021,13,13108.8,26
24/01/2021,13,12957.7,26
25/01/2021,13,13714.5,30
26/01/2021,13,15277.0,31
27/01/2021,13,15096.6,32
28/01/2021,13,14416.7,29
29/01/2021,13,15884.9,12
30/01/2021,13,14891.2,17
31/01/2021,13,14653.9,18
01/02/2021,13,16402.8,26
02/02/2021,13,15567.5,31
03/02/2021,13,14862.1,33
04/02/2021,13,14578.4,36
05/02/2021,13,14943.5,36
06/02/2021,13,12752.7,38
07/02/2021,13,14556.8,28
08/02/2021,13,14593.6,23
09/02/2021,13,16721.6,24
10/02/2021,13,14889.9,28
11/02/2021,13,15351.3,28
12/02/2021,13,15448.8,21
13/02/2021,13,14603.6,23
14/02/2021,13,15265.5,31
15/02/2021,13,15417.2,30
16/02/2021,13,15152.8,37
17/02/2021,13,14312.7,26
18/02/2021,13,16579.8,26
19/02/2021,13,16516.3,28
20/02/2021,13,13873.7,30
21/02/2021,13,13099.1,30
22/02/2021,13,15333.3,35
23/02/2021,13,14724.2,40
24/02/2021,13,12949.8,46
25/02/2021,13,11814.3,41
26/02/2021,13,12505.8,35
27/02/2021,13,13518.3,37
28/02/2021,13,13072.8,41
01/03/2021,13,13727.9,40
02/03/2021,13,13532.1,21
03/03/2021,13,13341.2,41
04/03/2021,13,12654.9,37
05/03/2021,13,13878.6,28
06/03/2021,13,12584.6,29
07/03/2021,13,12300.6,31
08/03/2021,13,13153.2,35
09/03/2021,13,12149.7,55
10/03/2021,13,11577.1,46
11/03/2021,13,11361.1,58
12/03/2021,13,10958.3,59
13/03/2021,13,10071.0,41
14/03/2021,13,10363.2,43
15/03/2021,13,13375.5,22
16/03/2021,13,13972.5,29
17/03/2021,13,12880.4,43
18/03/2021,13,13295.0,44
19/03/2021,13,12493.2,34
20/03/2021,13,10704.2,48
21/03/2021,13,9722.5,56
22/03/2021,13,10749.9,55
23/03/2021,13,10702.2,56
24/03/2021,13,12652.5,54
25/03/2021,13,11511.7,56
26/03/2021,13,12292.2,59
27/03/2021,13,9777.2,56
28/03/2021,13,12044.6,46
29/03/2021,13,11034.3,46
30/03/2021,13,10635.6,51
31/03/2021,13,12020.5,62
01/04/2021,13,13041.7,43
02/04/2021,13,12010.8,32
03/04/2021,13,10542.5,42
04/04/2021,13,10582.9,51
05/04/2021,13,11320.5,54
06/04/2021,13,11197.2,57
07/04/2021,13,11132.4,57
08/04/2021,13,11295.1,61
09/04/2021,13,10833.4,59
10/04/2021,13,9781.8,67
11/04/2021,13,11403.0,55
12/04/2021,13,12625.9,50
13/04/2021,13,11284.3,57
14/04/2021,13,10700.1,56
15/04/2021,13,12864.3,49
16/04/2021,13,13418.6,38
17/04/2021,13,10993.0,44
18/04/2021,13,10600.7,55
19/04/2021,13,11032.5,61
20/04/2021,13,10287.7,68
21/04/2021,13,11632.4,63
22/04/2021,13,11389.1,40
23/04/2021,13,10262.5,53
24/04/2021,13,9125.0,68
25/04/2021,13,11317.2,52
26/04/2021,13,9870.6,49
27/04/2021,13,9685.3,52
28/04/2021,13,11633.7,60
29/04/2021,13,12752.4,54
30/04/2021,13,11266.9,59
01/05/2021,13,9211.7,54
02/05/2021,13,9643.9,71
03/05/2021,13,12128.6,63
04/05/2021,13,12627.4,51
05/05/2021,13,13034.9,50
06/05/2021,13,10050.5,59
07/05/2021,13,10222.3,59
08/05/2021,13,10434.6,54
09/05/2021,13,9072.7,62
10/05/2021,13,11894.0,56
11/05/2021,13,10108.9,59
12/05/2021,13,10125.1,61
13/05/2021,13,10201.2,64
14/05/2021,13,10313.3,71
15/05/2021,13,9476.2,71
16/05/2021,13,9874.5,74
17/05/2021,13,11274.5,70
18/05/2021,13,11730.5,78
19/05/2021,13,12195.6,76
20/05/2021,13,12021.2,71
21/05/2021,13,11940.0,74
22/05/2021,13,12237.0,80
23/05/2021,13,13537.3,83
24/05/2021,13,11090.3,63
25/05/2021,13,10968.0,71
26/05/2021,13,14042.2,84
27/05/2021,13,13019.1,75
28/05/2021,13,11219.3,58
29/05/2021,13,11252.2,48
30/05/2021,13,11582.6,49
31/05/2021,13,11067.6,56
01/06/2021,13,12121.7,69
02/06/2021,13,13283.8,76
03/06/2021,13,13050.8,68
04/06/2021,13,13918.5,75
05/06/2021,13,13397.7,84
06/06/2021,13,16395.0,87
07/06/2021,13,18873.1,89
08/06/2021,13,20179.6,88
09/06/2021,13,18643.9,85
10/06/2021,13,14456.6,73
11/06/2021,13,12496.2,66
12/06/2021,13,11255.9,66
13/06/2021,13,11588.0,79
14/06/2021,13,13943.1,63
15/06/2021,13,14943.7,71
16/06/2021,13,12225.2,71
17/06/2021,13,11648.3,73
18/06/2021,13,12816.0,77
19/06/2021,13,15237.3,82
20/06/2021,13,15392.7,82
21/06/2021,13,19965.3,82
22/06/2021,13,16754.0,75
