Date,Hour,Demand,Temp_F
01/01/2021,6,11599.4,27
02/01/2021,6,10982.9,35
03/01/2021,6,11171.5,27
04/01/2021,6,11850.9,30
05/01/2021,6,12353.9,30
06/01/2021,6,12005.6,31
07/01/2021,6,12204.7,30
08/01/2021,6,12674.2,24
09/01/2021,6,12027.4,23
10/01/2021,6,11295.4,26
11/01/2021,6,12160.1,22
12/01/2021,6,12743.6,24
13/01/2021,6,12261.9,29
14/01/2021,6,11895.9,32
15/01/2021,6,11495.4,33
16/01/2021,6,10598.0,38
17/01/2021,6,10309.2,34
18/01/2021,6,10696.6,36
19/01/2021,6,11831.9,25
20/01/2021,6,11515.7,30
21/01/2021,6,12795.5,19
22/01/2021,6,12501.4,28
23/01/2021,6,11817.9,26
24/01/2021,6,11920.9,15
25/01/2021,6,13014.9,17
26/01/2021,6,12823.2,23
27/01/2021,6,12032.9,28
28/01/2021,6,12639.0,28
29/01/2021,6,14201.7,10
30/01/2021,6,13865.2,7
31/01/2021,6,13678.8,5
01/02/2021,6,13468.0,18
02/02/2021,6,11843.3,31
03/02/2021,6,12007.1,28
04/02/2021,6,12894.5,29
05/02/2021,6,13328.6,24
06/02/2021,6,12438.9,29
07/02/2021,6,11974.4,24
08/02/2021,6,12809.7,18
09/02/2021,6,13552.6,19
10/02/2021,6,13199.7,16
11/02/2021,6,13845.9,19
12/02/2021,6,14052.2,10
13/02/2021,6,12991.2,18
14/02/2021,6,12220.2,25
15/02/2021,6,12028.3,28
16/02/2021,6,12067.0,32
17/02/2021,6,12322.6,22
18/02/2021,6,13255.2,22
19/02/2021,6,12596.3,24
20/02/2021,6,12057.2,25
21/02/2021,6,12065.7,18
22/02/2021,6,13026.3,21
23/02/2021,6,12253.9,33
24/02/2021,6,11624.6,37
25/02/2021,6,10491.8,41
26/02/2021,6,11689.1,26
27/02/2021,6,11012.5,31
28/02/2021,6,10667.8,34
01/03/2021,6,11937.9,37
02/03/2021,6,12883.5,13
03/03/2021,6,12502.1,24
04/03/2021,6,12497.8,33
05/03/2021,6,12956.7,21
06/03/2021,6,11944.1,21
07/03/2021,6,12024.0,20
08/03/2021,6,12656.2,21
09/03/2021,6,12049.9,36
10/03/2021,6,11997.7,30
11/03/2021,6,10800.9,38
12/03/2021,6,10513.5,53
13/03/2021,6,10649.4,30
14/03/2021,6,10162.0,34
15/03/2021,6,12987.9,18
16/03/2021,6,13293.3,18
17/03/2021,6,12291.4,29
18/03/2021,6,11447.0,38
19/03/2021,6,11549.8,32
20/03/2021,6,11184.8,27
21/03/2021,6,10306.6,35
22/03/2021,6,10567.0,34
23/03/2021,6,10831.3,36
24/03/2021,6,10995.1,41
25/03/2021,6,9878.3,49
26/03/2021,6,9562.2,53
27/03/2021,6,9633.1,47
28/03/2021,6,9599.4,43
29/03/2021,6,9992.1,43
30/03/2021,6,11318.4,32
31/03/2021,6,9938.1,46
01/04/2021,6,9579.3,49
02/04/2021,6,11192.2,29
03/04/2021,6,10950.1,28
04/04/2021,6,10819.8,32
05/04/2021,6,10237.8,45
06/04/2021,6,10153.4,44
07/04/2021,6,10240.3,42
08/04/2021,6,10079.3,47
09/04/2021,6,10343.6,43
10/04/2021,6,9420.7,49
11/04/2021,6,9280.6,52
12/04/2021,6,9685.5,45
13/04/2021,6,9878.5,43
14/04/2021,6,10081.2,47
15/04/2021,6,10523.1,46
16/04/2021,6,10436.3,37
17/04/2021,6,9495.3,39
18/04/2021,6,10187.5,41
19/04/2021,6,10121.6,45
20/04/2021,6,10027.2,44
21/04/2021,6,9835.7,43
22/04/2021,6,10763.8,32
23/04/2021,6,10749.7,36
24/04/2021,6,9018.1,46
25/04/2021,6,9275.9,49
26/04/2021,6,9934.3,43
27/04/2021,6,9784.5,42
28/04/2021,6,9987.3,49
29/04/2021,6,10403.9,52
30/04/2021,6,10360.7,51
01/05/2021,6,8861.8,42
02/05/2021,6,9056.4,49
03/05/2021,6,9117.5,55
04/05/2021,6,9951.1,49
05/05/2021,6,9357.4,48
06/05/2021,6,9865.4,49
07/05/2021,6,9627.6,45
08/05/2021,6,9587.8,44
09/05/2021,6,8757.1,45
10/05/2021,6,9396.9,47
11/05/2021,6,9594.1,50
12/05/2021,6,9441.8,44
13/05/2021,6,9559.1,45
14/05/2021,6,10048.1,48
15/05/2021,6,9126.6,55
16/05/2021,6,8567.4,56
17/05/2021,6,9206.6,51
18/05/2021,6,9530.0,54
19/05/2021,6,9816.8,60
20/05/2021,6,10186.1,53
21/05/2021,6,9886.7,55
22/05/2021,6,9240.2,61
23/05/2021,6,9956.0,68
24/05/2021,6,10201.6,52
25/05/2021,6,9428.4,51
26/05/2021,6,9467.1,62
27/05/2021,6,10868.4,67
28/05/2021,6,9721.3,52
29/05/2021,6,9556.9,45
30/05/2021,6,9732.7,47
31/05/2021,6,9574.9,48
01/06/2021,6,9520.3,50
02/06/2021,6,9806.5,54
03/06/2021,6,9926.5,59
04/06/2021,6,10639.0,65
05/06/2021,6,10589.1,63
06/06/2021,6,11161.4,69
07/06/2021,6,13045.3,70
08/06/2021,6,13761.3,74
09/06/2021,6,13171.3,72
10/06/2021,6,11813.3,65
11/06/2021,6,10230.2,57
12/06/2021,6,10532.3,59
13/06/2021,6,9871.2,58
14/06/2021,6,10644.3,60
15/06/2021,6,10974.2,63
16/06/2021,6,10663.6,59
17/06/2021,6,10339.2,52
18/06/2021,6,10462.6,55
19/06/2021,6,10857.3,67
20/06/2021,6,11443.2,67
21/06/2021,6,12620.0,68
22/06/2021,6,13359.0,70
23/06/2021,6,10028.1,54
24/06/2021,6,10136.5,52
25/06/2021,6,10665.0,59
26/06/2021,6,11660.1,66
27/06/2021,6,11219.5,72
28/06/2021,6,13370.7,73
29/06/2021,6,15968.8,76
30/06/2021,6,16440.3,75
01/07/2021,6,14986.3,72
02/07/2021,6,12319.8,66
03/07/2021,6,10217.3,57
04/07/2021,6,9362.8,56
05/07/2021,6,9236.5,58
06/07/2021,6,11545.6,68
07/07/2021,6,13424.2,70
08/07/2021,6,12343.7,66
09/07/2021,6,12535.3,65
10/07/2021,6,10712.5,67
11/07/2021,6,10637.7,64
12/07/2021,6,12237.7,66
13/07/2021,6,12088.2,65
14/07/2021,6,11330.0,66
15/07/2021,6,12917.8,69
16/07/2021,6,13627.1,73
17/07/2021,6,13312.2,72
18/07/2021,6,12174.5,68
19/07/2021,6,12604.9,66
20/07/2021,6,12807.7,67
21/07/2021,6,13474.9,66
22/07/2021,6,10985.8,61
23/07/2021,6,11444.7,64
24/07/2021,6,11284.9,61
25/07/2021,6,11237.9,67
26/07/2021,6,12609.8,69
27/07/2021,6,13364.3,67
28/07/2021,6,13006.2,66
29/07/2021,6,11492.5,64
30/07/2021,6,11722.0,66
31/07/2021,6,10334.2,56
01/08/2021,6,9855.2,58
02/08/2021,6,11144.4,64
03/08/2021,6,11242.3,58
04/08/2021,6,11055.0,62
05/08/2021,6,11735.6,64
06/08/2021,6,11651.4,65
07/08/2021,6,12269.2,68
08/08/2021,6,12297.7,72
09/08/2021,6,12597.8,69
