Date,Hour,Demand,Temp_F
01/01/2021,18,15782.7,34
02/01/2021,18,15197.4,39
03/01/2021,18,16479.4,32
04/01/2021,18,17335.0,35
05/01/2021,18,17286.2,34
06/01/2021,18,16720.1,34
07/01/2021,18,16465.9,35
08/01/2021,18,16501.8,34
09/01/2021,18,16032.3,32
10/01/2021,18,16140.3,34
11/01/2021,18,16853.8,32
12/01/2021,18,16614.5,35
13/01/2021,18,16492.3,36
14/01/2021,18,16104.1,36
15/01/2021,18,15546.4,39
16/01/2021,18,14317.5,42
17/01/2021,18,14567.5,39
18/01/2021,18,14959.2,38
19/01/2021,18,15972.9,34
20/01/2021,18,16684.2,30
21/01/2021,18,16333.0,30
22/01/2021,18,15439.6,37
23/01/2021,18,15912.4,22
24/01/2021,18,15648.7,25
25/01/2021,18,16635.1,30
26/01/2021,18,17065.4,29
27/01/2021,18,16618.4,33
28/01/2021,18,17020.8,27
29/01/2021,18,18006.8,16
30/01/2021,18,16974.9,19
31/01/2021,18,16974.0,21
01/02/2021,18,17207.6,28
02/02/2021,18,16786.9,32
03/02/2021,18,16415.9,33
04/02/2021,18,16756.2,35
05/02/2021,18,15587.3,39
06/02/2021,18,15117.1,38
07/02/2021,18,16234.0,28
08/02/2021,18,17279.0,25
09/02/2021,18,17940.9,25
10/02/2021,18,17278.4,27
11/02/2021,18,17514.4,26
12/02/2021,18,17163.4,24
13/02/2021,18,16456.0,26
14/02/2021,18,16768.8,33
15/02/2021,18,17004.3,28
16/02/2021,18,16534.3,38
17/02/2021,18,16863.2,28
18/02/2021,18,17697.1,26
19/02/2021,18,17153.0,28
20/02/2021,18,16072.5,29
21/02/2021,18,15784.6,32
22/02/2021,18,16441.9,35
23/02/2021,18,16174.7,38
24/02/2021,18,15053.2,46
25/02/2021,18,14589.7,40
26/02/2021,18,14865.5,37
27/02/2021,18,14101.8,43
28/02/2021,18,14767.1,40
01/03/2021,18,14924.6,40
02/03/2021,18,15863.2,26
03/03/2021,18,14615.2,44
04/03/2021,18,15033.2,34
05/03/2021,18,15540.1,31
06/03/2021,18,14532.0,30
07/03/2021,18,14707.0,35
08/03/2021,18,15472.6,37
09/03/2021,18,13975.9,52
10/03/2021,18,14063.5,49
11/03/2021,18,13173.2,64
12/03/2021,18,12728.9,59
13/03/2021,18,12618.3,43
14/03/2021,18,12510.6,37
15/03/2021,18,14816.2,29
16/03/2021,18,14952.2,36
17/03/2021,18,13682.1,47
18/03/2021,18,13788.3,43
19/03/2021,18,13301.7,40
20/03/2021,18,11781.7,56
21/03/2021,18,11563.8,60
22/03/2021,18,12250.5,58
23/03/2021,18,12500.8,62
24/03/2021,18,13647.0,56
25/03/2021,18,12575.4,67
26/03/2021,18,12427.8,68
27/03/2021,18,11284.1,57
28/03/2021,18,12761.7,49
29/03/2021,18,12395.0,49
30/03/2021,18,12323.3,57
31/03/2021,18,12913.3,62
01/04/2021,18,13429.8,43
02/04/2021,18,12779.6,34
03/04/2021,18,11397.2,49
04/04/2021,18,11044.3,58
05/04/2021,18,12433.4,59
06/04/2021,18,12498.7,61
07/04/2021,18,12454.3,62
08/04/2021,18,12151.4,65
09/04/2021,18,12139.3,63
10/04/2021,18,10939.9,72
11/04/2021,18,12333.9,50
12/04/2021,18,13339.6,49
13/04/2021,18,12320.0,60
14/04/2021,18,12189.2,59
15/04/2021,18,13220.6,46
16/04/2021,18,13356.4,40
17/04/2021,18,11778.8,50
18/04/2021,18,11498.4,59
19/04/2021,18,12128.5,60
20/04/2021,18,11763.4,69
21/04/2021,18,12391.0,53
22/04/2021,18,12585.2,44
23/04/2021,18,11038.5,59
24/04/2021,18,10508.0,69
25/04/2021,18,11908.2,54
26/04/2021,18,11136.1,54
27/04/2021,18,11391.4,67
28/04/2021,18,12956.6,64
29/04/2021,18,13356.6,54
30/04/2021,18,11888.7,59
01/05/2021,18,10856.1,60
02/05/2021,18,10981.5,67
03/05/2021,18,13165.0,61
04/05/2021,18,13146.2,57
05/05/2021,18,13067.8,51
06/05/2021,18,11434.5,63
07/05/2021,18,11546.1,56
08/05/2021,18,11424.8,54
09/05/2021,18,10803.6,63
10/05/2021,18,12295.0,60
11/05/2021,18,11571.4,60
12/05/2021,18,11600.8,62
13/05/2021,18,11628.7,67
14/05/2021,18,11964.4,73
15/05/2021,18,11438.9,75
16/05/2021,18,11702.6,69
17/05/2021,18,12927.0,70
18/05/2021,18,13277.1,80
19/05/2021,18,15211.6,78
20/05/2021,18,14467.7,73
21/05/2021,18,14257.1,79
22/05/2021,18,14772.2,83
23/05/2021,18,15376.3,78
24/05/2021,18,12642.9,66
25/05/2021,18,12807.1,73
26/05/2021,18,17444.0,85
27/05/2021,18,14921.4,76
28/05/2021,18,11971.1,56
29/05/2021,18,11588.7,48
30/05/2021,18,11981.9,49
31/05/2021,18,11781.1,60
01/06/2021,18,13539.9,75
02/06/2021,18,14574.1,76
03/06/2021,18,13627.1,70
04/06/2021,18,14767.4,75
05/06/2021,18,17303.3,87
06/06/2021,18,19586.1,90
07/06/2021,18,22236.6,91
08/06/2021,18,21785.9,82
09/06/2021,18,20410.5,86
10/06/2021,18,16052.9,74
11/06/2021,18,13552.6,67
12/06/2021,18,12402.4,72
13/06/2021,18,14174.0,79
14/06/2021,18,15280.3,65
15/06/2021,18,16320.6,74
16/06/2021,18,14476.3,73
17/06/2021,18,14515.3,76
18/06/2021,18,15470.2,80
19/06/2021,18,18214.6,84
20/06/2021,18,19289.5,84
21/06/2021,18,22218.4,81
22/06/2021,18,16678.4,64
23/06/2021,18,13994.5,71
24/06/2021,18,14590.0,73
25/06/2021,18,15506.6,71
26/06/2021,18,17134.0,80
27/06/2021,18,19869.3,86
28/06/2021,18,24332.9,93
29/06/2021,18,24965.0,93
30/06/2021,18,25352.7,91
01/07/2021,18,19269.0,76
02/07/2021,18,14928.9,60
03/07/2021,18,12836.9,58
04/07/2021,18,12679.3,68
05/07/2021,18,15044.1,74
06/07/2021,18,20978.4,82
07/07/2021,18,20885.3,87
08/07/2021,18,16964.8,66
09/07/2021,18,17553.0,75
10/07/2021,18,15985.7,74
11/07/2021,18,16402.0,75
12/07/2021,18,16687.7,71
13/07/2021,18,15556.6,69
14/07/2021,18,18224.5,80
15/07/2021,18,21165.2,83
16/07/2021,18,23006.6,80
17/07/2021,18,17148.3,75
18/07/2021,18,16220.8,74
19/07/2021,18,17207.5,73
20/07/2021,18,20653.0,83
21/07/2021,18,17803.1,79
22/07/2021,18,16869.7,77
23/07/2021,18,16585.1,75
24/07/2021,18,15886.1,78
25/07/2021,18,16202.7,75
26/07/2021,18,20851.3,86
27/07/2021,18,21226.0,83
28/07/2021,18,16457.1,74
29/07/2021,18,16080.5,70
30/07/2021,18,16344.4,77
31/07/2021,18,13687.0,74
01/08/2021,18,15075.3,74
02/08/2021,18,16620.0,78
03/08/2021,18,16613.6,75
04/08/2021,18,16272.2,73
05/08/2021,18,15669.3,71
06/08/2021,18,18914.8,85
07/08/2021,18,19082.0,84
08/08/2021,18,17634.8,78
09/08/2021,18,18568.9,75
10/08/2021,18,19703.9,76
11/08/2021,18,22844.7,89
12/08/2021,18,25043.6,91
13/08/2021,18,24475.6,90
14/08/2021,18,20385.7,86
15/08/2021,18,16587.7,78
16/08/2021,18,17494.6,77
17/08/2021,18,18178.5,79
18/08/2021,18,19554.0,80
19/08/2021,18,19347.3,78
20/08/2021,18,20718.8,81
21/08/2021,18,20102.8,81
22/08/2021,18,16796.8,72
23/08/2021,18,19398.6,73
24/08/2021,18,21784.0,87
25/08/2021,18,23154.0,88
26/08/2021,18,25137.8,91
27/08/2021,18,21907.0,84
28/08/2021,18,14974.0,68
29/08/2021,18,15799.3,70
30/08/2021,18,20740.4,84
31/08/2021,18,19136.7,80
01/09/2021,18,16225.4,67
02/09/2021,18,13834.1,72
03/09/2021,18,13455.0,72
04/09/2021,18,13942.9,76
05/09/2021,18,14474.4,69
06/09/2021,18,16342.7,77
07/09/2021,18,16872.3,76
08/09/2021,18,18316.2,78
09/09/2021,18,16172.6,71
10/09/2021,18,14052.5,71
11/09/2021,18,14044.5,74
12/09/2021,18,16348.3,79
13/09/2021,18,16316.3,78
14/09/2021,18,15322.8,72
15/09/2021,18,18885.8,81
16/09/2021,18,16097.3,69
17/09/2021,18,15469.9,68
18/09/2021,18,15802.3,76
19/09/2021,18,14157.3,72
20/09/2021,18,15105.0,71
21/09/2021,18,14890.0,72
22/09/2021,18,16200.5,74
23/09/2021,18,17407.8,77
24/09/2021,18,15228.7,72
25/09/2021,18,13686.5,72
26/09/2021,18,13254.8,70
27/09/2021,18,14907.9,72
28/09/2021,18,14301.7,65
29/09/2021,18,13409.0,61
30/09/2021,18,13010.6,59
01/10/2021,18,12696.1,63
02/10/2021,18,12706.4,71
03/10/2021,18,13358.8,65
04/10/2021,18,14882.9,58
05/10/2021,18,14078.2,59
06/10/2021,18,13745.6,69
07/10/2021,18,14301.6,70
08/10/2021,18,13416.1,68
09/10/2021,18,12675.5,61
10/10/2021,18,12874.9,63
11/10/2021,18,13980.2,68
12/10/2021,18,14295.5,70
13/10/2021,18,14889.8,70
14/10/2021,18,15031.4,72
15/10/2021,18,14278.9,70
16/10/2021,18,13128.0,71
17/10/2021,18,12286.1,59
18/10/2021,18,13348.5,54
19/10/2021,18,12892.3,61
20/10/2021,18,13838.1,69
21/10/2021,18,14314.4,69
22/10/2021,18,13307.5,66
23/10/2021,18,12206.1,56
24/10/2021,18,12261.4,56
25/10/2021,18,14659.0,52
26/10/2021,18,13900.4,56
27/10/2021,18,13458.5,51
28/10/2021,18,13252.5,50
29/10/2021,18,13168.0,50
30/10/2021,18,12807.5,57
31/10/2021,18,11770.5,62
01/11/2021,18,13435.1,55
02/11/2021,18,14024.3,52
03/11/2021,18,13620.9,48
04/11/2021,18,14096.5,46
05/11/2021,18,13166.0,48
06/11/2021,18,12984.6,49
07/11/2021,18,14165.9,48
08/11/2021,18,14740.3,55
09/11/2021,18,14645.4,59
10/11/2021,18,14602.8,53
11/11/2021,18,14410.7,51
12/11/2021,18,14304.0,58
13/11/2021,18,13659.1,50
14/11/2021,18,14437.4,45
15/11/2021,18,15153.1,43
16/11/2021,18,15261.1,42
17/11/2021,18,15205.8,46
18/11/2021,18,14032.5,60
19/11/2021,18,14658.2,41
20/11/2021,18,14588.9,39
21/11/2021,18,13990.0,49
22/11/2021,18,14549.5,44
23/11/2021,18,15431.2,33
24/11/2021,18,14966.9,38
25/11/2021,18,12940.3,47
26/11/2021,18,15005.3,38
27/11/2021,18,14748.3,32
28/11/2021,18,15305.1,34
29/11/2021,18,15922.8,34
30/11/2021,18,16570.2,35
01/12/2021,18,15680.3,39
02/12/2021,18,15534.1,51
03/12/2021,18,15213.1,36
04/12/2021,18,15132.8,36
05/12/2021,18,15498.0,39
06/12/2021,18,14389.4,55
07/12/2021,18,15986.2,36
08/12/2021,18,16809.3,32
09/12/2021,18,16810.6,32
10/12/2021,18,15968.0,38
11/12/2021,18,13969.0,51
12/12/2021,18,14758.4,41
13/12/2021,18,15414.3,48
14/12/2021,18,15918.1,44
15/12/2021,18,16054.0,41
16/12/2021,18,14937.3,54
17/12/2021,18,14758.7,50
18/12/2021,18,15652.0,33
19/12/2021,18,15993.8,28
20/12/2021,18,16705.1,29
21/12/2021,18,16816.6,35
22/12/2021,18,16599.3,38
23/12/2021,18,16916.2,27
24/12/2021,18,15645.1,27
25/12/2021,18,15438.8,34
26/12/2021,18,15852.8,37
27/12/2021,18,17027.7,32
28/12/2021,18,16322.5,41
29/12/2021,18,17095.5,38
30/12/2021,18,16199.1,40
31/12/2021,18,14713.8,43
01/01/2022,18,14054.2,49
02/01/2022,18,14489.0,40
03/01/2022,18,17407.0,23
04/01/2022,18,17130.2,28
05/01/2022,18,15997.0,43
06/01/2022,18,16028.2,32
07/01/2022,18,15846.4,29
08/01/2022,18,16706.6,24
09/01/2022,18,15794.6,38
10/01/2022,18,17759.7,24
11/01/2022,18,19719.4,10
12/01/2022,18,17696.5,34
13/01/2022,18,16633.4,39
14/01/2022,18,16930.4,33
15/01/2022,18,18208.3,10
16/01/2022,18,17389.7,24
17/01/2022,18,16901.9,37
18/01/2022,18,17672.3,25
19/01/2022,18,17062.7,41
20/01/2022,18,17302.1,29
21/01/2022,18,18842.7,17
22/01/2022,18,17792.3,22
23/01/2022,18,17132.9,31
24/01/2022,18,18332.4,27
25/01/2022,18,17236.0,34
26/01/2022,18,18795.7,19
27/01/2022,18,18398.7,24
28/01/2022,18,16877.3,31
29/01/2022,18,18193.0,13
30/01/2022,18,17807.5,20
31/01/2022,18,18446.0,25
01/02/2022,18,17264.9,32
02/02/2022,18,16393.5,41
03/02/2022,18,16231.4,42
04/02/2022,18,17065.9,27
05/02/2022,18,16983.4,20
06/02/2022,18,17537.6,25
07/02/2022,18,17223.3,35
08/02/2022,18,16685.5,37
09/02/2022,18,16427.8,40
10/02/2022,18,15721.1,45
11/02/2022,18,15170.8,48
12/02/2022,18,14081.8,50
13/02/2022,18,16488.3,27
14/02/2022,18,17951.3,17
15/02/2022,18,17398.4,26
16/02/2022,18,16468.7,39
17/02/2022,18,15004.5,54
18/02/2022,18,15266.8,31
19/02/2022,18,15408.3,30
20/02/2022,18,15612.0,31
21/02/2022,18,15213.2,47
22/02/2022,18,15534.0,41
23/02/2022,18,14317.9,50
24/02/2022,18,15973.9,28
25/02/2022,18,17098.0,23
26/02/2022,18,15442.0,30
27/02/2022,18,14941.3,38
28/02/2022,18,17423.5,26
01/03/2022,18,16462.0,37
02/03/2022,18,14930.2,39
03/03/2022,18,15625.2,31
04/03/2022,18,15713.6,33
05/03/2022,18,15118.3,39
06/03/2022,18,13576.7,60
07/03/2022,18,14967.4,52
08/03/2022,18,15078.3,40
09/03/2022,18,16663.6,32
10/03/2022,18,14737.3,45
11/03/2022,18,14123.4,49
12/03/2022,18,14506.1,30
13/03/2022,18,13675.6,33
14/03/2022,18,13153.5,50
15/03/2022,18,13128.8,55
16/03/2022,18,12812.5,54
17/03/2022,18,13431.4,51
18/03/2022,18,12265.3,68
19/03/2022,18,13274.2,51
20/03/2022,18,12109.1,54
21/03/2022,18,12040.2,55
22/03/2022,18,12518.5,49
23/03/2022,18,13905.0,45
24/03/2022,18,15170.8,42
25/03/2022,18,12223.9,56
26/03/2022,18,12207.0,47
27/03/2022,18,12779.1,43
28/03/2022,18,14629.7,26
29/03/2022,18,13403.2,36
30/03/2022,18,13889.7,45
31/03/2022,18,13469.1,59
01/04/2022,18,12230.4,49
02/04/2022,18,10711.3,51
03/04/2022,18,13326.0,44
04/04/2022,18,12419.2,55
05/04/2022,18,12254.9,56
06/04/2022,18,13955.5,48
07/04/2022,18,13996.1,48
08/04/2022,18,11680.8,59
09/04/2022,18,11093.9,50
10/04/2022,18,11289.4,49
11/04/2022,18,11955.9,61
12/04/2022,18,11384.3,68
13/04/2022,18,12034.7,66
14/04/2022,18,12766.0,58
15/04/2022,18,11105.2,65
16/04/2022,18,11171.8,59
17/04/2022,18,10755.4,46
18/04/2022,18,11949.3,50
19/04/2022,18,12045.1,48
20/04/2022,18,11231.0,54
21/04/2022,18,12168.9,55
22/04/2022,18,10420.5,61
23/04/2022,18,10686.4,59
24/04/2022,18,11482.3,53
25/04/2022,18,11898.9,59
26/04/2022,18,12702.6,52
27/04/2022,18,11509.4,51
28/04/2022,18,11145.7,52
29/04/2022,18,11377.0,56
30/04/2022,18,10708.6,59
01/05/2022,18,10607.2,64
02/05/2022,18,12396.6,54
03/05/2022,18,12272.4,55
04/05/2022,18,13264.3,53
05/05/2022,18,11854.7,68
06/05/2022,18,11712.2,59
07/05/2022,18,12054.0,50
08/05/2022,18,11368.4,54
09/05/2022,18,11186.1,61
10/05/2022,18,11279.1,62
11/05/2022,18,11989.1,68
12/05/2022,18,12889.2,72
13/05/2022,18,13387.2,75
14/05/2022,18,14229.7,79
15/05/2022,18,13648.5,75
16/05/2022,18,15013.8,73
17/05/2022,18,13082.0,70
18/05/2022,18,11971.5,70
19/05/2022,18,12955.9,56
20/05/2022,18,13545.9,66
21/05/2022,18,16478.7,79
22/05/2022,18,18264.8,87
23/05/2022,18,13804.0,69
24/05/2022,18,12413.3,63
25/05/2022,18,11844.8,68
26/05/2022,18,12546.9,68
27/05/2022,18,14141.2,77
28/05/2022,18,13529.3,67
29/05/2022,18,13411.2,75
30/05/2022,18,15863.3,85
31/05/2022,18,16204.0,73
01/06/2022,18,13321.9,61
02/06/2022,18,13744.0,65
03/06/2022,18,13130.2,69
04/06/2022,18,12543.2,73
05/06/2022,18,12384.5,74
06/06/2022,18,14391.1,76
07/06/2022,18,14745.1,74
08/06/2022,18,15854.8,78
09/06/2022,18,14619.9,77
10/06/2022,18,14484.7,76
11/06/2022,18,13672.9,74
12/06/2022,18,13203.0,72
13/06/2022,18,16401.2,80
14/06/2022,18,16039.2,77
15/06/2022,18,15667.6,75
16/06/2022,18,14804.4,70
17/06/2022,18,17682.6,82
18/06/2022,18,12056.7,62
19/06/2022,18,11855.9,63
20/06/2022,18,13649.2,74
21/06/2022,18,14050.9,70
22/06/2022,18,13628.3,64
23/06/2022,18,14352.8,71
24/06/2022,18,14352.9,78
25/06/2022,18,17130.1,86
26/06/2022,18,18702.4,88
27/06/2022,18,16069.3,73
28/06/2022,18,15208.5,76
29/06/2022,18,17142.9,81
30/06/2022,18,17387.7,80
01/07/2022,18,20347.5,87
02/07/2022,18,17617.2,83
03/07/2022,18,16479.1,83
04/07/2022,18,16292.3,82
05/07/2022,18,18292.7,73
06/07/2022,18,18128.9,81
07/07/2022,18,16915.1,77
08/07/2022,18,18094.7,83
09/07/2022,18,15159.7,78
10/07/2022,18,14982.0,77
11/07/2022,18,18596.4,83
12/07/2022,18,19881.8,83
13/07/2022,18,20405.0,82
14/07/2022,18,18279.5,80
15/07/2022,18,17637.0,80
16/07/2022,18,17224.2,80
17/07/2022,18,18597.0,85
18/07/2022,18,19178.2,75
19/07/2022,18,22177.0,89
20/07/2022,18,24189.2,90
21/07/2022,18,23032.4,85
22/07/2022,18,23107.6,88
23/07/2022,18,22197.3,91
24/07/2022,18,22636.4,92
25/07/2022,18,21525.5,85
26/07/2022,18,19360.4,78
27/07/2022,18,19866.0,80
28/07/2022,18,20484.2,84
29/07/2022,18,20507.0,86
30/07/2022,18,18254.2,83
31/07/2022,18,19098.2,81
01/08/2022,18,21089.5,78
02/08/2022,18,22781.4,87
03/08/2022,18,21539.9,83
04/08/2022,18,24645.8,91
05/08/2022,18,23699.7,84
06/08/2022,18,21928.6,90
07/08/2022,18,23190.4,91
08/08/2022,18,24050.3,86
09/08/2022,18,24097.1,86
10/08/2022,18,19467.5,78
11/08/2022,18,19856.4,78
12/08/2022,18,17813.1,78
13/08/2022,18,15351.3,75
14/08/2022,18,16547.9,79
15/08/2022,18,17930.6,79
16/08/2022,18,17517.4,78
17/08/2022,18,15434.9,72
18/08/2022,18,16533.9,80
19/08/2022,18,20316.0,88
20/08/2022,18,19794.6,86
21/08/2022,18,18877.6,83
22/08/2022,18,17674.7,72
23/08/2022,18,19113.7,73
24/08/2022,18,20556.5,82
25/08/2022,18,20895.7,84
26/08/2022,18,19847.4,72
27/08/2022,18,16682.2,79
28/08/2022,18,16737.4,78
29/08/2022,18,21071.7,85
30/08/2022,18,21990.8,85
31/08/2022,18,19833.1,80
01/09/2022,18,16384.5,75
02/09/2022,18,13908.6,73
03/09/2022,18,15696.8,76
04/09/2022,18,17205.9,79
05/09/2022,18,15238.5,67
06/09/2022,18,15626.9,64
07/09/2022,18,15592.8,69
08/09/2022,18,15684.5,73
09/09/2022,18,16002.8,77
10/09/2022,18,16447.0,81
11/09/2022,18,16024.9,74
12/09/2022,18,17879.3,76
13/09/2022,18,17746.4,75
14/09/2022,18,16097.6,77
15/09/2022,18,13726.6,68
16/09/2022,18,13568.4,71
17/09/2022,18,12746.6,67
18/09/2022,18,15589.6,79
19/09/2022,18,16137.8,68
20/09/2022,18,14661.7,66
21/09/2022,18,14770.7,70
22/09/2022,18,13661.5,61
23/09/2022,18,12351.8,57
24/09/2022,18,11479.8,67
25/09/2022,18,12631.8,65
26/09/2022,18,14061.0,70
27/09/2022,18,13599.9,68
28/09/2022,18,13441.7,68
29/09/2022,18,13016.1,62
30/09/2022,18,12665.6,59
01/10/2022,18,12410.7,58
02/10/2022,18,12424.4,53
03/10/2022,18,13053.9,53
04/10/2022,18,13619.5,55
05/10/2022,18,13354.1,59
06/10/2022,18,12997.1,71
07/10/2022,18,12756.9,72
08/10/2022,18,11739.9,56
09/10/2022,18,12060.5,60
10/10/2022,18,13058.4,59
11/10/2022,18,12882.5,64
12/10/2022,18,13026.3,68
13/10/2022,18,14011.9,65
14/10/2022,18,12808.2,63
15/10/2022,18,12208.4,67
16/10/2022,18,12378.2,62
17/10/2022,18,14224.2,56
18/10/2022,18,13031.4,59
19/10/2022,18,13322.7,53
20/10/2022,18,12826.8,55
21/10/2022,18,12127.3,60
22/10/2022,18,11552.6,65
23/10/2022,18,12955.0,55
24/10/2022,18,14256.7,58
25/10/2022,18,14632.3,65
26/10/2022,18,14632.5,67
27/10/2022,18,12782.7,62
28/10/2022,18,13018.6,52
29/10/2022,18,12320.3,57
30/10/2022,18,12786.7,61
31/10/2022,18,13848.6,64
01/11/2022,18,13787.0,64
02/11/2022,18,12891.3,64
03/11/2022,18,12895.1,63
04/11/2022,18,13174.7,68
05/11/2022,18,12310.6,72
06/11/2022,18,13956.6,70
07/11/2022,18,14344.8,67
08/11/2022,18,14374.8,48
09/11/2022,18,14535.9,46
10/11/2022,18,13951.7,62
11/11/2022,18,13875.5,63
12/11/2022,18,12871.7,61
13/11/2022,18,13865.7,47
14/11/2022,18,14727.1,38
15/11/2022,18,15360.2,39
16/11/2022,18,15154.2,43
17/11/2022,18,14910.6,40
18/11/2022,18,15099.1,38
19/11/2022,18,14411.0,36
20/11/2022,18,14707.1,31
21/11/2022,18,15382.9,35
22/11/2022,18,15606.1,42
23/11/2022,18,14964.2,44
24/11/2022,18,13243.6,42
25/11/2022,18,13380.6,47
26/11/2022,18,13183.4,49
27/11/2022,18,13796.9,47
28/11/2022,18,14658.6,45
29/11/2022,18,15813.4,38
30/11/2022,18,14443.9,56
01/12/2022,18,15557.5,38
02/12/2022,18,15376.2,40
03/12/2022,18,14259.1,55
04/12/2022,18,15476.6,37
05/12/2022,18,15451.4,42
06/12/2022,18,15052.6,49
07/12/2022,18,14679.2,55
08/12/2022,18,15015.3,44
09/12/2022,18,15461.8,39
10/12/2022,18,15429.6,33
11/12/2022,18,16150.8,27
12/12/2022,18,16525.9,30
13/12/2022,18,16524.1,34
14/12/2022,18,16441.9,33
15/12/2022,18,15931.0,39
16/12/2022,18,15349.8,39
17/12/2022,18,14931.0,38
18/12/2022,18,15744.7,35
19/12/2022,18,16295.0,34
20/12/2022,18,17215.8,33
21/12/2022,18,17021.9,34
22/12/2022,18,16042.2,37
23/12/2022,18,14619.5,41
24/12/2022,18,17001.3,14
25/12/2022,18,16880.1,24
26/12/2022,18,17481.6,28
27/12/2022,18,17208.7,30
28/12/2022,18,16295.9,39
29/12/2022,18,15943.6,43
30/12/2022,18,14758.2,53
31/12/2022,18,13669.6,50
01/01/2023,18,13548.0,44
02/01/2023,18,14500.2,45
03/01/2023,18,14488.7,40
04/01/2023,18,14982.5,44
05/01/2023,18,15655.9,38
06/01/2023,18,15482.3,35
07/01/2023,18,14867.5,38
08/01/2023,18,15741.9,32
09/01/2023,18,16389.7,35
10/01/2023,18,16121.9,35
11/01/2023,18,17134.3,30
12/01/2023,18,16206.2,36
13/01/2023,18,14241.8,47
14/01/2023,18,15134.9,32
15/01/2023,18,15377.1,34
16/01/2023,18,16003.5,33
17/01/2023,18,16107.9,42
18/01/2023,18,15903.4,45
19/01/2023,18,15542.1,35
20/01/2023,18,16314.6,35
21/01/2023,18,15424.8,31
22/01/2023,18,15821.4,34
23/01/2023,18,16234.4,33
24/01/2023,18,15776.7,36
25/01/2023,18,17292.3,33
26/01/2023,18,15295.3,40
27/01/2023,18,15381.2,37
28/01/2023,18,14411.4,45
29/01/2023,18,14356.2,47
30/01/2023,18,15676.3,42
31/01/2023,18,16746.9,29
01/02/2023,18,16807.3,28
02/02/2023,18,16258.8,34
03/02/2023,18,19700.6,6
04/02/2023,18,18376.9,12
05/02/2023,18,14646.3,42
06/02/2023,18,15649.2,41
07/02/2023,18,16866.8,33
08/02/2023,18,15545.4,45
09/02/2023,18,15841.7,41
10/02/2023,18,14468.3,48
11/02/2023,18,14517.1,40
12/02/2023,18,14364.4,44
13/02/2023,18,15745.5,42
14/02/2023,18,15126.4,47
15/02/2023,18,14546.2,55
16/02/2023,18,13920.9,56
17/02/2023,18,14556.6,41
18/02/2023,18,14062.0,38
19/02/2023,18,14398.5,43
20/02/2023,18,14681.0,53
21/02/2023,18,15360.4,38
22/02/2023,18,15484.0,37
23/02/2023,18,16108.0,27
24/02/2023,18,16277.1,27
25/02/2023,18,16869.5,19
26/02/2023,18,14864.3,34
27/02/2023,18,15847.7,32
28/02/2023,18,16076.2,34
01/03/2023,18,15229.4,38
02/03/2023,18,15029.5,42
03/03/2023,18,14936.6,41
04/03/2023,18,14930.8,35
05/03/2023,18,14206.2,42
06/03/2023,18,14798.1,44
07/03/2023,18,15978.8,34
08/03/2023,18,14847.8,44
09/03/2023,18,14886.9,44
10/03/2023,18,14304.2,43
11/03/2023,18,14165.5,39
12/03/2023,18,13317.9,44
13/03/2023,18,15043.4,40
14/03/2023,18,15220.4,34
15/03/2023,18,13561.1,39
16/03/2023,18,13251.3,49
17/03/2023,18,13264.7,51
18/03/2023,18,11791.2,48
19/03/2023,18,13450.2,36
20/03/2023,18,12659.0,50
21/03/2023,18,12705.1,57
22/03/2023,18,13220.8,53
23/03/2023,18,13763.6,52
24/03/2023,18,12286.1,50
25/03/2023,18,13741.5,38
26/03/2023,18,12006.7,56
27/03/2023,18,13186.1,53
28/03/2023,18,14193.6,46
29/03/2023,18,12179.1,49
30/03/2023,18,12974.7,40
31/03/2023,18,14105.1,44
01/04/2023,18,11743.0,62
02/04/2023,18,11802.0,45
03/04/2023,18,12047.9,53
04/04/2023,18,12638.0,59
05/04/2023,18,14292.1,43
06/04/2023,18,12374.3,59
07/04/2023,18,11602.2,47
